182	CobsR.23#
168	CobsR.40#
164	CobsR.212#
153	CobsR.256#
152	Gypsy6-NVi_LTR#
136	CobsR.91#
88	CobsR.1914#
80	CobsR.176#
75	CobsR.144#
67	CobsR.103#
66	CobsR.182#
66	CobsR.150#
64	CobsR.284#
62	CobsR.838#
62	CobsR.101#
60	CobsR.122#
57	CobsR.306#
52	CobsR.167#
48	CobsR.967#
44	CobsR.826#
44	CobsR.649#
40	CobsR.304#
39	CobsR.214#
36	Gypsy68-I_AG#
28	CobsR.293#
25	CobsR.46#
23	CobsR.392#
23	CobsR.143#
20	Gypsy-24_DEl-I#
20	CobsR.309#
20	CobsR.2700#
20	CobsR.1107#
18	CobsR.603#
18	CobsR.1574#
15	CobsR.1054#
14	CobsR.1222#
13	CobsR.694#
12	CobsR.2047#
11	CobsR.474#
10	Gypsy10-I_AG#
10	Gypsy-110_NilLug#
10	CobsR.1854#
9	Gypsy-38_NVi-LTR#
9	CobsR.1942#
9	CfloR.281#
7	Gypsy-14_LH-LTR#
7	CobsR.2757#
7	CobsR.2147#
6	CobsR.2302#
6	CobsR.2173#
6	CobsR.2035#
6	CobsR.1864#
5	Gypsy6-I_Dmoj#
5	Gypsy-22_DY-LTR#
5	CobsR.2675#
5	CobsR.2606#
5	CobsR.2427#
5	CobsR.2310#
5	CobsR.2244#
5	CobsR.2192#
5	CobsR.2103#
5	CobsR.2046#
5	CobsR.1481#
5	CobsR.1194#
4	VemeR.2737#
4	TcurR.421#
4	MphaR.6300#
4	Gypsy8-I_Dpse#
4	Gypsy-9_ACe-LTR#
4	CobsR.2411#
4	CobsR.2079#
4	CobsR.1808#
4	CobsR.1504#
3	Gypsy1-I_Dmoj#
3	Gypsy-7_ACe-LTR#
3	Gypsy-22_DWil-I#
3	Gypsy-18B_PBa-I#
3	FexsR.1109#
3	CobsR.2128#
3	CobsR.1418#
2	TcurR.3026#
2	SinvR.250#
2	SinvR.14389#
2	PbarR.970#
2	Gypsy-80_NilLug#
2	Gypsy-6_AEc-LTR#
2	Gypsy-50_NilLug#
2	Gypsy-31_MesMar#
2	Gypsy-23_DEl-I#
2	Gypsy-10_DVir-LTR#
2	CobsR.354#
2	CobsR.2018#
2	CobsR.1599#
2	CfloR.115#
1	VemeR.8084#
1	VemeR.6553#
1	VemeR.4548#
1	VemeR.3248#
1	VemeR.2348#
1	TsepR.179#
1	TcurR.1830#
1	TcurR.1444#
1	SinvR.5131#
1	SinvR.4349#
1	PbarR.91#
1	PbarR.666#
1	PbarR.215#
1	MphaR.8438#
1	Gypsy7-I_Dya#
1	Gypsy61-I_AG#
1	Gypsy58-I_AG#
1	Gypsy-9_MelCin#
1	Gypsy-9_DPu-I#
1	Gypsy-90_NilLug#
1	Gypsy-8_HMM-LTR#
1	Gypsy-73_NilLug#
1	Gypsy-6_AEc-I#
1	Gypsy-600_AA-I#
1	Gypsy-59_CQ-I#
1	Gypsy-35_DPu-I#
1	Gypsy-34_DAn-I#
1	Gypsy-30_DEl-LTR#
1	Gypsy-28_SI-I#
1	Gypsy-25_LH-I#
1	Gypsy-21_PBa-LTR#
1	Gypsy-20_PBa-I#
1	Gypsy-205_AA-I#
1	Gypsy-14_DAn-I#
1	Gypsy-13_CFl-I#
1	Gypsy-12_LocMig#
1	CobsR.916#
1	CobsR.2409#
1	CobsR.2393#
1	CobsR.2349#
1	CobsR.2196#
1	CobsR.1979#
1	CfloR.722#
1	CfloR.497#
1	CfloR.4333#
1	CfloR.291#
1	CfloR.274#
1	ApiMel_6#
